Subject	Alter	Group	Block	Blocktype	congruency[Block]	correctRESP[Block]	lstBlockOrder	lstCheckInstructions	practice1	practice2	Procedure[Block]	Running[Block]	stimulus[Block]	stimulus.ACC	stimulus.CRESP	stimulus.RESP	stimulus.RT	stimulus1.ACC	stimulus1.CRESP	stimulus1.RESP	stimulus1.RT	stimulus2.ACC[Block]	stimulus2.CRESP[Block]	stimulus2.RESP[Block]	stimulus2.RT[Block]	target[Block]	Trial	congruency[Trial]	correctRESP[Trial]	lstcong20	lstcong80	lstMain	Procedure[Trial]	Running[Trial]	stimulus[Trial]	stimulus2.ACC[Trial]	stimulus2.CRESP[Trial]	stimulus2.RESP[Trial]	stimulus2.RT[Trial]	target[Trial]
1	20	1	18		incong	{-h}				4	ProcPractice2	practice2	human_movI_cueM_cor_vert.jpg									1	{-h}	{-h}	443	2														
1	20	1	19		cong	{-h}				2	ProcPractice2	practice2	human_movM_cueM_cor_vert.jpg									1	{-h}	{-h}	415	2														
1	20	1	20		incong	{-g}				3	ProcPractice2	practice2	human_movM_cueI_cor_vert.jpg									1	{-g}	{-g}	302	1														
1	20	1	21		cong	{-g}				1	ProcPractice2	practice2	human_movI_cueI_cor_vert.jpg									1	{-g}	{-g}	424	1														
1	20	1	22		incong	{-h}				4	ProcPractice2	practice2	human_movI_cueM_cor_vert.jpg									1	{-h}	{-h}	409	2														
1	20	1	23		cong	{-g}				1	ProcPractice2	practice2	human_movI_cueI_cor_vert.jpg									1	{-g}	{-g}	424	1														
1	20	1	24		cong	{-h}				2	ProcPractice2	practice2	human_movM_cueM_cor_vert.jpg									1	{-h}	{-h}	330	2														
1	20	1	25	lstcong80			1				BlockProc	lstBlockOrder															1	cong	{-g}		1	1	TrialProc	lstMain	human_movI_cueI_cor_vert.jpg	1	{-g}	{-g}	506	1
1	20	1	25	lstcong80			1				BlockProc	lstBlockOrder															2	cong	{-g}		1	1	TrialProc	lstMain	human_movI_cueI_cor_vert.jpg	1	{-g}	{-g}	404	1
1	20	1	25	lstcong80			1				BlockProc	lstBlockOrder															3	incong	{-g}		3	1	TrialProc	lstMain	human_movM_cueI_cor_vert.jpg	1	{-g}	{-g}	329	1
1	20	1	25	lstcong80			1				BlockProc	lstBlockOrder															4	cong	{-g}		1	1	TrialProc	lstMain	human_movI_cueI_cor_vert.jpg	1	{-g}	{-g}	336	1
1	20	1	25	lstcong80			1				BlockProc	lstBlockOrder															5	incong	{-h}		4	1	TrialProc	lstMain	human_movI_cueM_cor_vert.jpg	1	{-h}	{-h}	376	2
1	20	1	25	lstcong80			1				BlockProc	lstBlockOrder															6	incong	{-g}		3	1	TrialProc	lstMain	human_movM_cueI_cor_vert.jpg	1	{-g}	{-g}	311	1
1	20	1	25	lstcong80			1				BlockProc	lstBlockOrder															7	cong	{-g}		1	1	TrialProc	lstMain	human_movI_cueI_cor_vert.jpg	1	{-g}	{-g}	313	1
1	20	1	25	lstcong80			1				BlockProc	lstBlockOrder															8	cong	{-h}		2	1	TrialProc	lstMain	human_movM_cueM_cor_vert.jpg	1	{-h}	{-h}	315	2
1	20	1	25	lstcong80			1				BlockProc	lstBlockOrder															9	cong	{-h}		2	1	TrialProc	lstMain	human_movM_cueM_cor_vert.jpg	1	{-h}	{-h}	352	2
1	20	1	25	lstcong80			1				BlockProc	lstBlockOrder															10	cong	{-h}		2	1	TrialProc	lstMain	human_movM_cueM_cor_vert.jpg	1	{-h}	{-h}	362	2
1	20	1	25	lstcong80			1				BlockProc	lstBlockOrder															11	cong	{-h}		2	1	TrialProc	lstMain	human_movM_cueM_cor_vert.jpg	1	{-h}	{-h}	374	2
1	20	1	25	lstcong80			1				BlockProc	lstBlockOrder															12	cong	{-h}		2	1	TrialProc	lstMain	human_movM_cueM_cor_vert.jpg	1	{-h}	{-h}	326	2
1	20	1	25	lstcong80			1				BlockProc	lstBlockOrder															13	cong	{-g}		1	1	TrialProc	lstMain	human_movI_cueI_cor_vert.jpg	1	{-g}	{-g}	394	1
1	20	1	25	lstcong80			1				BlockProc	lstBlockOrder															14	cong	{-g}		1	1	TrialProc	lstMain	human_movI_cueI_cor_vert.jpg	1	{-g}	{-g}	447	1
1	20	1	25	lstcong80			1				BlockProc	lstBlockOrder															15	cong	{-h}		2	1	TrialProc	lstMain	human_movM_cueM_cor_vert.jpg	1	{-h}	{-h}	350	2
1	20	1	25	lstcong80			1				BlockProc	lstBlockOrder															16	cong	{-h}		2	1	TrialProc	lstMain	human_movM_cueM_cor_vert.jpg	1	{-h}	{-h}	328	2
1	20	1	25	lstcong80			1				BlockProc	lstBlockOrder															17	incong	{-h}		4	1	TrialProc	lstMain	human_movI_cueM_cor_vert.jpg	1	{-h}	{-h}	368	2
1	20	1	25	lstcong80			1				BlockProc	lstBlockOrder															18	cong	{-g}		1	1	TrialProc	lstMain	human_movI_cueI_cor_vert.jpg	1	{-g}	{-g}	383	1
1	20	1	25	lstcong80			1				BlockProc	lstBlockOrder															19	incong	{-h}		4	1	TrialProc	lstMain	human_movI_cueM_cor_vert.jpg	1	{-h}	{-h}	353	2
1	20	1	25	lstcong80			1				BlockProc	lstBlockOrder															20	cong	{-h}		2	1	TrialProc	lstMain	human_movM_cueM_cor_vert.jpg	1	{-h}	{-h}	363	2
1	20	1	25	lstcong80			1				BlockProc	lstBlockOrder															21	cong	{-g}		1	1	TrialProc	lstMain	human_movI_cueI_cor_vert.jpg	1	{-g}	{-g}	375	1
1	20	1	25	lstcong80			1				BlockProc	lstBlockOrder															22	cong	{-h}		2	1	TrialProc	lstMain	human_movM_cueM_cor_vert.jpg	1	{-h}	{-h}	359	2
1	20	1	25	lstcong80			1				BlockProc	lstBlockOrder															23	cong	{-h}		2	1	TrialProc	lstMain	human_movM_cueM_cor_vert.jpg	1	{-h}	{-h}	291	2
1	20	1	25	lstcong80			1				BlockProc	lstBlockOrder															24	cong	{-g}		1	1	TrialProc	lstMain	human_movI_cueI_cor_vert.jpg	1	{-g}	{-g}	291	1
1	20	1	25	lstcong80			1				BlockProc	lstBlockOrder															25	cong	{-g}		1	1	TrialProc	lstMain	human_movI_cueI_cor_vert.jpg	0	{-g}	{-h}	291	1
1	20	1	25	lstcong80			1				BlockProc	lstBlockOrder															26	cong	{-g}		1	1	TrialProc	lstMain	human_movI_cueI_cor_vert.jpg	1	{-g}	{-g}	402	1
1	20	1	25	lstcong80			1				BlockProc	lstBlockOrder															27	cong	{-h}		2	1	TrialProc	lstMain	human_movM_cueM_cor_vert.jpg	1	{-h}	{-h}	390	2
1	20	1	25	lstcong80			1				BlockProc	lstBlockOrder															28	incong	{-h}		4	1	TrialProc	lstMain	human_movI_cueM_cor_vert.jpg	1	{-h}	{-h}	392	2
1	20	1	25	lstcong80			1				BlockProc	lstBlockOrder															29	cong	{-g}		1	1	TrialProc	lstMain	human_movI_cueI_cor_vert.jpg	1	{-g}	{-g}	378	1
1	20	1	25	lstcong80			1				BlockProc	lstBlockOrder															30	cong	{-h}		2	1	TrialProc	lstMain	human_movM_cueM_cor_vert.jpg	1	{-h}	{-h}	409	2
1	20	1	25	lstcong80			1				BlockProc	lstBlockOrder															31	cong	{-g}		1	1	TrialProc	lstMain	human_movI_cueI_cor_vert.jpg	0	{-g}	{-h}	353	1
1	20	1	25	lstcong80			1				BlockProc	lstBlockOrder															32	incong	{-g}		3	1	TrialProc	lstMain	human_movM_cueI_cor_vert.jpg	1	{-g}	{-g}	475	1
1	20	1	25	lstcong80			1				BlockProc	lstBlockOrder															33	cong	{-h}		2	1	TrialProc	lstMain	human_movM_cueM_cor_vert.jpg	1	{-h}	{-h}	383	2
1	20	1	25	lstcong80			1				BlockProc	lstBlockOrder															34	cong	{-h}		2	1	TrialProc	lstMain	human_movM_cueM_cor_vert.jpg	1	{-h}	{-h}	369	2
1	20	1	25	lstcong80			1				BlockProc	lstBlockOrder															35	cong	{-g}		1	1	TrialProc	lstMain	human_movI_cueI_cor_vert.jpg	1	{-g}	{-g}	369	1
1	20	1	25	lstcong80			1				BlockProc	lstBlockOrder															36	incong	{-h}		4	1	TrialProc	lstMain	human_movI_cueM_cor_vert.jpg	1	{-h}	{-h}	544	2
1	20	1	25	lstcong80			1				BlockProc	lstBlockOrder															37	cong	{-h}		2	1	TrialProc	lstMain	human_movM_cueM_cor_vert.jpg	1	{-h}	{-h}	402	2
1	20	1	25	lstcong80			1				BlockProc	lstBlockOrder															38	cong	{-g}		1	1	TrialProc	lstMain	human_movI_cueI_cor_vert.jpg	1	{-g}	{-g}	359	1
1	20	1	25	lstcong80			1				BlockProc	lstBlockOrder															39	cong	{-g}		1	1	TrialProc	lstMain	human_movI_cueI_cor_vert.jpg	1	{-g}	{-g}	595	1
1	20	1	25	lstcong80			1				BlockProc	lstBlockOrder															40	cong	{-g}		1	1	TrialProc	lstMain	human_movI_cueI_cor_vert.jpg	1	{-g}	{-g}	384	1
1	20	1	25	lstcong80			1				BlockProc	lstBlockOrder															41	cong	{-h}		2	1	TrialProc	lstMain	human_movM_cueM_cor_vert.jpg	1	{-h}	{-h}	434	2
1	20	1	25	lstcong80			1				BlockProc	lstBlockOrder															42	incong	{-g}		3	1	TrialProc	lstMain	human_movM_cueI_cor_vert.jpg	1	{-g}	{-g}	542	1
1	20	1	25	lstcong80			1				BlockProc	lstBlockOrder															43	cong	{-h}		2	1	TrialProc	lstMain	human_movM_cueM_cor_vert.jpg	1	{-h}	{-h}	448	2
1	20	1	25	lstcong80			1				BlockProc	lstBlockOrder															44	cong	{-h}		2	1	TrialProc	lstMain	human_movM_cueM_cor_vert.jpg	1	{-h}	{-h}	416	2
1	20	1	25	lstcong80			1				BlockProc	lstBlockOrder															45	cong	{-h}		2	1	TrialProc	lstMain	human_movM_cueM_cor_vert.jpg	1	{-h}	{-h}	407	2
1	20	1	25	lstcong80			1				BlockProc	lstBlockOrder															46	cong	{-g}		1	1	TrialProc	lstMain	human_movI_cueI_cor_vert.jpg	1	{-g}	{-g}	526	1
1	20	1	25	lstcong80			1				BlockProc	lstBlockOrder															47	cong	{-g}		1	1	TrialProc	lstMain	human_movI_cueI_cor_vert.jpg	1	{-g}	{-g}	379	1
1	20	1	25	lstcong80			1				BlockProc	lstBlockOrder															48	cong	{-h}		2	1	TrialProc	lstMain	human_movM_cueM_cor_vert.jpg	1	{-h}	{-h}	474	2
1	20	1	25	lstcong80			1				BlockProc	lstBlockOrder															49	cong	{-g}		1	1	TrialProc	lstMain	human_movI_cueI_cor_vert.jpg	1	{-g}	{-g}	399	1
1	20	1	25	lstcong80			1				BlockProc	lstBlockOrder															50	cong	{-g}		1	1	TrialProc	lstMain	human_movI_cueI_cor_vert.jpg	1	{-g}	{-g}	419	1
1	20	1	25	lstcong80			1				BlockProc	lstBlockOrder															51	cong	{-g}		1	1	TrialProc	lstMain	human_movI_cueI_cor_vert.jpg	1	{-g}	{-g}	427	1
1	20	1	25	lstcong80			1				BlockProc	lstBlockOrder															52	incong	{-h}		4	1	TrialProc	lstMain	human_movI_cueM_cor_vert.jpg	1	{-h}	{-h}	485	2
1	20	1	25	lstcong80			1				BlockProc	lstBlockOrder															53	cong	{-h}		2	1	TrialProc	lstMain	human_movM_cueM_cor_vert.jpg	1	{-h}	{-h}	505	2
1	20	1	25	lstcong80			1				BlockProc	lstBlockOrder															54	cong	{-h}		2	1	TrialProc	lstMain	human_movM_cueM_cor_vert.jpg	1	{-h}	{-h}	371	2
1	20	1	25	lstcong80			1				BlockProc	lstBlockOrder															55	cong	{-h}		2	1	TrialProc	lstMain	human_movM_cueM_cor_vert.jpg	1	{-h}	{-h}	291	2
1	20	1	25	lstcong80			1				BlockProc	lstBlockOrder															56	cong	{-g}		1	1	TrialProc	lstMain	human_movI_cueI_cor_vert.jpg	1	{-g}	{-g}	466	1
1	20	1	25	lstcong80			1				BlockProc	lstBlockOrder															57	cong	{-g}		1	1	TrialProc	lstMain	human_movI_cueI_cor_vert.jpg	1	{-g}	{-g}	420	1
1	20	1	25	lstcong80			1				BlockProc	lstBlockOrder															58	cong	{-h}		2	1	TrialProc	lstMain	human_movM_cueM_cor_vert.jpg	1	{-h}	{-h}	427	2
1	20	1	25	lstcong80			1				BlockProc	lstBlockOrder															59	incong	{-h}		4	1	TrialProc	lstMain	human_movI_cueM_cor_vert.jpg	1	{-h}	{-h}	373	2
1	20	1	25	lstcong80			1				BlockProc	lstBlockOrder															60	cong	{-h}		2	1	TrialProc	lstMain	human_movM_cueM_cor_vert.jpg	1	{-h}	{-h}	373	2
1	20	1	25	lstcong80			1				BlockProc	lstBlockOrder															61	cong	{-h}		2	1	TrialProc	lstMain	human_movM_cueM_cor_vert.jpg	1	{-h}	{-h}	356	2
1	20	1	25	lstcong80			1				BlockProc	lstBlockOrder															62	cong	{-g}		1	1	TrialProc	lstMain	human_movI_cueI_cor_vert.jpg	1	{-g}	{-g}	481	1
1	20	1	25	lstcong80			1				BlockProc	lstBlockOrder															63	cong	{-g}		1	1	TrialProc	lstMain	human_movI_cueI_cor_vert.jpg	1	{-g}	{-g}	437	1
1	20	1	25	lstcong80			1				BlockProc	lstBlockOrder															64	cong	{-g}		1	1	TrialProc	lstMain	human_movI_cueI_cor_vert.jpg	1	{-g}	{-g}	450	1
1	20	1	25	lstcong80			1				BlockProc	lstBlockOrder															65	incong	{-g}		3	1	TrialProc	lstMain	human_movM_cueI_cor_vert.jpg	1	{-g}	{-g}	769	1
1	20	1	25	lstcong80			1				BlockProc	lstBlockOrder															66	incong	{-h}		4	1	TrialProc	lstMain	human_movI_cueM_cor_vert.jpg	1	{-h}	{-h}	368	2
1	20	1	25	lstcong80			1				BlockProc	lstBlockOrder															67	cong	{-h}		2	1	TrialProc	lstMain	human_movM_cueM_cor_vert.jpg	1	{-h}	{-h}	336	2
1	20	1	25	lstcong80			1				BlockProc	lstBlockOrder															68	incong	{-g}		3	1	TrialProc	lstMain	human_movM_cueI_cor_vert.jpg	1	{-g}	{-g}	615	1
1	20	1	25	lstcong80			1				BlockProc	lstBlockOrder															69	incong	{-h}		4	1	TrialProc	lstMain	human_movI_cueM_cor_vert.jpg	1	{-h}	{-h}	473	2
1	20	1	25	lstcong80			1				BlockProc	lstBlockOrder															70	cong	{-g}		1	1	TrialProc	lstMain	human_movI_cueI_cor_vert.jpg	1	{-g}	{-g}	475	1
1	20	1	25	lstcong80			1				BlockProc	lstBlockOrder															71	cong	{-g}		1	1	TrialProc	lstMain	human_movI_cueI_cor_vert.jpg	1	{-g}	{-g}	399	1
1	20	1	25	lstcong80			1				BlockProc	lstBlockOrder															72	cong	{-h}		2	1	TrialProc	lstMain	human_movM_cueM_cor_vert.jpg	1	{-h}	{-h}	356	2
1	20	1	25	lstcong80			1				BlockProc	lstBlockOrder															73	cong	{-g}		1	1	TrialProc	lstMain	human_movI_cueI_cor_vert.jpg	1	{-g}	{-g}	449	1
1	20	1	25	lstcong80			1				BlockProc	lstBlockOrder															74	cong	{-g}		1	1	TrialProc	lstMain	human_movI_cueI_cor_vert.jpg	1	{-g}	{-g}	480	1
1	20	1	25	lstcong80			1				BlockProc	lstBlockOrder															75	cong	{-g}		1	1	TrialProc	lstMain	human_movI_cueI_cor_vert.jpg	1	{-g}	{-g}	469	1
1	20	1	25	lstcong80			1				BlockProc	lstBlockOrder															76	cong	{-h}		2	1	TrialProc	lstMain	human_movM_cueM_cor_vert.jpg	1	{-h}	{-h}	439	2
1	20	1	25	lstcong80			1				BlockProc	lstBlockOrder															77	cong	{-g}		1	1	TrialProc	lstMain	human_movI_cueI_cor_vert.jpg	1	{-g}	{-g}	371	1
1	20	1	25	lstcong80			1				BlockProc	lstBlockOrder															78	incong	{-g}		3	1	TrialProc	lstMain	human_movM_cueI_cor_vert.jpg	1	{-g}	{-g}	418	1
1	20	1	25	lstcong80			1				BlockProc	lstBlockOrder															79	cong	{-h}		2	1	TrialProc	lstMain	human_movM_cueM_cor_vert.jpg	1	{-h}	{-h}	426	2
1	20	1	25	lstcong80			1				BlockProc	lstBlockOrder															80	cong	{-g}		1	1	TrialProc	lstMain	human_movI_cueI_cor_vert.jpg	1	{-g}	{-g}	436	1
1	20	1	25	lstcong80			1				BlockProc	lstBlockOrder															81	cong	{-h}		2	1	TrialProc	lstMain	human_movM_cueM_cor_vert.jpg	1	{-h}	{-h}	384	2
1	20	1	25	lstcong80			1				BlockProc	lstBlockOrder															82	cong	{-h}		2	1	TrialProc	lstMain	human_movM_cueM_cor_vert.jpg	1	{-h}	{-h}	386	2
1	20	1	25	lstcong80			1				BlockProc	lstBlockOrder															83	cong	{-g}		1	1	TrialProc	lstMain	human_movI_cueI_cor_vert.jpg	1	{-g}	{-g}	532	1
1	20	1	25	lstcong80			1				BlockProc	lstBlockOrder															84	incong	{-g}		3	1	TrialProc	lstMain	human_movM_cueI_cor_vert.jpg	1	{-g}	{-g}	644	1
1	20	1	25	lstcong80			1				BlockProc	lstBlockOrder															85	cong	{-h}		2	1	TrialProc	lstMain	human_movM_cueM_cor_vert.jpg	1	{-h}	{-h}	392	2
1	20	1	25	lstcong80			1				BlockProc	lstBlockOrder															86	cong	{-g}		1	1	TrialProc	lstMain	human_movI_cueI_cor_vert.jpg	1	{-g}	{-g}	426	1
1	20	1	25	lstcong80			1				BlockProc	lstBlockOrder															87	incong	{-h}		4	1	TrialProc	lstMain	human_movI_cueM_cor_vert.jpg	1	{-h}	{-h}	388	2
1	20	1	25	lstcong80			1				BlockProc	lstBlockOrder															88	incong	{-g}		3	1	TrialProc	lstMain	human_movM_cueI_cor_vert.jpg	1	{-g}	{-g}	454	1
1	20	1	25	lstcong80			1				BlockProc	lstBlockOrder															89	cong	{-g}		1	1	TrialProc	lstMain	human_movI_cueI_cor_vert.jpg	1	{-g}	{-g}	325	1
1	20	1	25	lstcong80			1				BlockProc	lstBlockOrder															90	cong	{-h}		2	1	TrialProc	lstMain	human_movM_cueM_cor_vert.jpg	1	{-h}	{-h}	314	2
1	20	1	25	lstcong80			1				BlockProc	lstBlockOrder															91	cong	{-h}		2	1	TrialProc	lstMain	human_movM_cueM_cor_vert.jpg	1	{-h}	{-h}	319	2
1	20	1	25	lstcong80			1				BlockProc	lstBlockOrder															92	cong	{-h}		2	1	TrialProc	lstMain	human_movM_cueM_cor_vert.jpg	1	{-h}	{-h}	371	2
1	20	1	25	lstcong80			1				BlockProc	lstBlockOrder															93	incong	{-g}		3	1	TrialProc	lstMain	human_movM_cueI_cor_vert.jpg	0	{-g}	{-h}	403	1
1	20	1	25	lstcong80			1				BlockProc	lstBlockOrder															94	cong	{-g}		1	1	TrialProc	lstMain	human_movI_cueI_cor_vert.jpg	1	{-g}	{-g}	343	1
1	20	1	25	lstcong80			1				BlockProc	lstBlockOrder															95	cong	{-h}		2	1	TrialProc	lstMain	human_movM_cueM_cor_vert.jpg	1	{-h}	{-h}	338	2
1	20	1	25	lstcong80			1				BlockProc	lstBlockOrder															96	cong	{-h}		2	1	TrialProc	lstMain	human_movM_cueM_cor_vert.jpg	1	{-h}	{-h}	426	2
1	20	1	25	lstcong80			1				BlockProc	lstBlockOrder															97	cong	{-h}		2	1	TrialProc	lstMain	human_movM_cueM_cor_vert.jpg	1	{-h}	{-h}	435	2
1	20	1	25	lstcong80			1				BlockProc	lstBlockOrder															98	cong	{-g}		1	1	TrialProc	lstMain	human_movI_cueI_cor_vert.jpg	1	{-g}	{-g}	320	1
1	20	1	25	lstcong80			1				BlockProc	lstBlockOrder															99	cong	{-h}		2	1	TrialProc	lstMain	human_movM_cueM_cor_vert.jpg	1	{-h}	{-h}	404	2
1	20	1	25	lstcong80			1				BlockProc	lstBlockOrder															100	cong	{-g}		1	1	TrialProc	lstMain	human_movI_cueI_cor_vert.jpg	1	{-g}	{-g}	377	1
1	20	1	26	lstcong20			2				BlockProc	lstBlockOrder															1	incong	{-g}	3		1	TrialProc	lstMain	human_movM_cueI_cor_vert.jpg	1	{-g}	{-g}	476	1
1	20	1	26	lstcong20			2				BlockProc	lstBlockOrder															2	incong	{-h}	4		1	TrialProc	lstMain	human_movI_cueM_cor_vert.jpg	1	{-h}	{-h}	497	2
1	20	1	26	lstcong20			2				BlockProc	lstBlockOrder															3	incong	{-h}	4		1	TrialProc	lstMain	human_movI_cueM_cor_vert.jpg	1	{-h}	{-h}	584	2
1	20	1	26	lstcong20			2				BlockProc	lstBlockOrder															4	incong	{-g}	3		1	TrialProc	lstMain	human_movM_cueI_cor_vert.jpg	1	{-g}	{-g}	498	1
1	20	1	26	lstcong20			2				BlockProc	lstBlockOrder															5	incong	{-h}	4		1	TrialProc	lstMain	human_movI_cueM_cor_vert.jpg	1	{-h}	{-h}	393	2
1	20	1	26	lstcong20			2				BlockProc	lstBlockOrder															6	incong	{-g}	3		1	TrialProc	lstMain	human_movM_cueI_cor_vert.jpg	1	{-g}	{-g}	363	1
1	20	1	26	lstcong20			2				BlockProc	lstBlockOrder															7	incong	{-g}	3		1	TrialProc	lstMain	human_movM_cueI_cor_vert.jpg	1	{-g}	{-g}	440	1
1	20	1	26	lstcong20			2				BlockProc	lstBlockOrder															8	incong	{-g}	3		1	TrialProc	lstMain	human_movM_cueI_cor_vert.jpg	1	{-g}	{-g}	325	1
1	20	1	26	lstcong20			2				BlockProc	lstBlockOrder															9	incong	{-g}	3		1	TrialProc	lstMain	human_movM_cueI_cor_vert.jpg	1	{-g}	{-g}	377	1
1	20	1	26	lstcong20			2				BlockProc	lstBlockOrder															10	incong	{-h}	4		1	TrialProc	lstMain	human_movI_cueM_cor_vert.jpg	1	{-h}	{-h}	361	2
1	20	1	26	lstcong20			2				BlockProc	lstBlockOrder															11	incong	{-h}	4		1	TrialProc	lstMain	human_movI_cueM_cor_vert.jpg	1	{-h}	{-h}	277	2
1	20	1	26	lstcong20			2				BlockProc	lstBlockOrder															12	incong	{-g}	3		1	TrialProc	lstMain	human_movM_cueI_cor_vert.jpg	1	{-g}	{-g}	369	1
1	20	1	26	lstcong20			2				BlockProc	lstBlockOrder															13	incong	{-g}	3		1	TrialProc	lstMain	human_movM_cueI_cor_vert.jpg	1	{-g}	{-g}	369	1
1	20	1	26	lstcong20			2				BlockProc	lstBlockOrder															14	cong	{-g}	1		1	TrialProc	lstMain	human_movI_cueI_cor_vert.jpg	1	{-g}	{-g}	321	1
1	20	1	26	lstcong20			2				BlockProc	lstBlockOrder															15	incong	{-h}	4		1	TrialProc	lstMain	human_movI_cueM_cor_vert.jpg	1	{-h}	{-h}	357	2
1	20	1	26	lstcong20			2				BlockProc	lstBlockOrder															16	cong	{-h}	2		1	TrialProc	lstMain	human_movM_cueM_cor_vert.jpg	1	{-h}	{-h}	386	2
1	20	1	26	lstcong20			2				BlockProc	lstBlockOrder															17	cong	{-g}	1		1	TrialProc	lstMain	human_movI_cueI_cor_vert.jpg	1	{-g}	{-g}	388	1
1	20	1	26	lstcong20			2				BlockProc	lstBlockOrder															18	cong	{-h}	2		1	TrialProc	lstMain	human_movM_cueM_cor_vert.jpg	1	{-h}	{-h}	422	2
1	20	1	26	lstcong20			2				BlockProc	lstBlockOrder															19	cong	{-g}	1		1	TrialProc	lstMain	human_movI_cueI_cor_vert.jpg	1	{-g}	{-g}	416	1
1	20	1	26	lstcong20			2				BlockProc	lstBlockOrder															20	incong	{-h}	4		1	TrialProc	lstMain	human_movI_cueM_cor_vert.jpg	1	{-h}	{-h}	519	2
1	20	1	26	lstcong20			2				BlockProc	lstBlockOrder															21	incong	{-h}	4		1	TrialProc	lstMain	human_movI_cueM_cor_vert.jpg	1	{-h}	{-h}	324	2
1	20	1	26	lstcong20			2				BlockProc	lstBlockOrder															22	incong	{-g}	3		1	TrialProc	lstMain	human_movM_cueI_cor_vert.jpg	1	{-g}	{-g}	424	1
1	20	1	26	lstcong20			2				BlockProc	lstBlockOrder															23	cong	{-g}	1		1	TrialProc	lstMain	human_movI_cueI_cor_vert.jpg	1	{-g}	{-g}	385	1
1	20	1	26	lstcong20			2				BlockProc	lstBlockOrder															24	incong	{-g}	3		1	TrialProc	lstMain	human_movM_cueI_cor_vert.jpg	1	{-g}	{-g}	436	1
1	20	1	26	lstcong20			2				BlockProc	lstBlockOrder															25	incong	{-h}	4		1	TrialProc	lstMain	human_movI_cueM_cor_vert.jpg	1	{-h}	{-h}	448	2
1	20	1	26	lstcong20			2				BlockProc	lstBlockOrder															26	incong	{-h}	4		1	TrialProc	lstMain	human_movI_cueM_cor_vert.jpg	1	{-h}	{-h}	304	2
1	20	1	26	lstcong20			2				BlockProc	lstBlockOrder															27	incong	{-h}	4		1	TrialProc	lstMain	human_movI_cueM_cor_vert.jpg	1	{-h}	{-h}	322	2
1	20	1	26	lstcong20			2				BlockProc	lstBlockOrder															28	incong	{-g}	3		1	TrialProc	lstMain	human_movM_cueI_cor_vert.jpg	1	{-g}	{-g}	599	1
1	20	1	26	lstcong20			2				BlockProc	lstBlockOrder															29	incong	{-h}	4		1	TrialProc	lstMain	human_movI_cueM_cor_vert.jpg	1	{-h}	{-h}	404	2
1	20	1	26	lstcong20			2				BlockProc	lstBlockOrder															30	incong	{-h}	4		1	TrialProc	lstMain	human_movI_cueM_cor_vert.jpg	1	{-h}	{-h}	632	2
